cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2024_BCCS_SP126,37.0,294.0,1.0,1.0,70.0,229.0,6.334118497716895,8.045441800228309,0.8372294383561644,6.018051018092895,10.353071689435335,5.666017930105353,5.230176904852957,33.17148,-4.58791,9,5,9,False,False
2025_BCCS_SP126,72.0,224.0,3.0,0.0,136.0,177.0,5.763928030821917,6.276682850456621,1.6287275433789954,6.553103075753681,12.493527055936074,6.129482772439281,5.636079093205683,32.59078,-2.79179,18,1,2,False,False
2026_BCCS_SP126,35.0,249.0,0.0,0.0,111.0,207.0,5.234871606164384,6.719360882420092,0.9190422397260276,5.3057145368788055,11.603212873287672,4.859601957544903,4.417728665661953,28.20324,-2.94881,3,2,12,False,False
2027_BCCS_SP126,39.0,245.0,0.0,4.0,117.0,207.0,6.595603076484019,7.97304480022831,0.9857557191780822,6.667727581457118,10.375908361872144,6.3166529453773546,5.975535679329993,30.19705,-6.14438,4,7,12,False,False
2028_BCCS_SP126,52.0,241.0,0.0,9.0,122.0,200.0,6.293507173515981,7.531773549086759,1.0898694349315068,6.668226572470382,10.897471500455373,6.295702893592192,5.937490987889055,29.12277,-9.66651,3,11,12,False,False
2029_BCCS_SP126,59.0,237.0,0.0,2.0,122.0,181.0,5.534463613013699,6.535862007990868,1.2581285365296802,6.1534096145556365,11.981793460045662,5.739324537616056,5.022152880597451,30.7164,-11.66127,6,3,3,False,False
2030_BCCS_SP126,59.0,239.0,3.0,18.0,121.0,196.0,7.257633992009133,8.093258460045663,1.4192082751141553,7.825438804066403,10.58078255821918,7.494978170478733,6.98668690754316,33.25299,-11.56748,18,10,3,False,False
2031_BCCS_SP126,46.0,256.0,0.0,12.0,116.0,186.0,6.455729383561644,7.830686019406393,0.9818228150684932,6.853685483775964,10.507916246575345,6.467028179047954,6.141813705121761,27.18468,-10.26658,3,7,8,False,False
2032_BCCS_SP126,32.0,270.0,0.0,5.0,90.0,223.0,6.498364579908675,8.083291535388128,0.8828974269406393,6.442289478458608,10.280360792349729,6.112798911560635,5.699184875164737,31.148,-7.83444,4,7,9,False,False
2033_BCCS_SP126,86.0,231.0,1.0,11.0,135.0,202.0,6.918317563926941,7.5203147385844735,1.5753114520547946,7.523831170252984,11.232305340182648,7.163682317109809,6.796235751265921,31.78026,-9.34962,9,7,10,False,False
2034_BCCS_SP126,70.0,248.0,2.0,20.0,124.0,219.0,8.413420819634704,9.173871633561644,1.5109684942922377,8.554696057818335,9.608516168949771,8.190425988641094,7.828501485497958,32.49022,-15.2849,8,16,4,False,False
2035_BCCS_SP126,63.0,256.0,8.0,17.0,110.0,217.0,7.152512615296804,8.063206721461187,1.3921584703196348,7.769502224636986,10.631804325342468,7.454567038361913,7.15410972787156,31.89598,-12.29165,17,8,4,False,False
2036_BCCS_SP126,49.0,257.0,1.0,5.0,102.0,210.0,6.344711248858447,7.620093406392694,1.0954183493150689,6.535911593873903,10.857474833788707,6.130883555778024,5.674525489881968,31.56077,-6.69574,6,7,0,False,False
2037_BCCS_SP126,33.0,284.0,6.0,4.0,90.0,230.0,6.757173850456621,8.296151043378993,0.9487012694063928,6.531146476189495,10.140228688356164,6.171810272963376,5.618212263308682,33.48827,-6.15164,6,4,9,False,False
2038_BCCS_SP126,44.0,275.0,2.0,5.0,93.0,222.0,6.491819826484018,7.948305595890411,1.0004283310502284,6.464389749048805,10.50903683561644,6.030000961354884,5.479011178973455,32.14316,-6.44056,10,5,0,False,False
2039_BCCS_SP126,60.0,228.0,0.0,3.0,133.0,184.0,5.6224485856164375,6.554157901826484,1.3008762819634705,6.163113984918462,11.979303978310504,5.728495914560075,5.3615819369825,28.7356,-4.4496,6,3,2,False,False
2040_BCCS_SP126,43.0,255.0,2.0,0.0,115.0,206.0,6.072350147260274,7.39935799086758,1.039105885844749,6.039802342687928,11.016774570810565,5.627389822269055,5.333176076562679,33.61512,-1.72116,6,0,6,False,False
2041_BCCS_SP126,32.0,257.0,0.0,20.0,113.0,208.0,6.65224080022831,8.174712166666666,0.9004337796803653,6.927096575412478,10.14862675913242,6.567885148308623,6.203535031688912,28.14783,-10.09938,6,13,8,False,False
2042_BCCS_SP126,30.0,281.0,0.0,10.0,89.0,204.0,6.754943829908676,8.451769259132421,0.7912376244292237,6.718973698089083,9.827531418949771,6.38307509634619,5.974972982211748,29.71625,-7.03102,8,12,9,False,False
2043_BCCS_SP126,69.0,244.0,5.0,2.0,130.0,203.0,6.508818310502283,7.219717391552511,1.520904785388128,6.917410720283408,11.532991260273972,6.475633998905396,6.101606725803787,34.84893,-4.27862,12,2,10,False,False
2044_BCCS_SP126,51.0,277.0,2.0,14.0,89.0,232.0,7.142733761415525,8.48874778196347,1.104340882420091,7.186300055578681,10.079429019808742,6.859043942800903,6.562183561928616,31.86484,-12.87078,14,8,0,False,False
2045_BCCS_SP126,57.0,248.0,4.0,16.0,118.0,197.0,7.018275218036529,7.989210369863013,1.3372060593607304,7.822397500134904,10.656136900684931,7.457792851685886,6.784593986509003,33.20427,-13.05729,10,8,3,False,False
2046_BCCS_SP126,38.0,279.0,0.0,7.0,85.0,240.0,6.893068373287671,8.512618755707761,0.8845847694063926,6.582757097897534,9.876101165525116,6.206960062988349,5.647896042309444,29.64466,-8.14966,6,9,9,False,False
